,0
0,0.0
1,9.0
2,9.0
3,3.0
4,7.0
5,0.0
6,3.0
7,0.0
8,3.0
9,5.0
10,7.0
11,4.0
12,0.0
13,4.0
14,3.0
15,3.0
16,1.0
17,9.0
18,0.0
19,9.0
20,1.0
21,1.0
22,5.0
23,7.0
24,4.0
25,2.0
26,7.0
27,4.0
28,7.0
29,7.0
30,5.0
31,4.0
32,2.0
33,6.0
34,2.0
35,5.0
36,5.0
37,1.0
38,6.0
39,7.0
40,7.0
41,4.0
42,9.0
43,8.0
44,7.0
45,8.0
46,8.0
47,6.0
48,7.0
49,6.0
50,8.0
51,8.0
52,3.0
53,8.0
54,2.0
55,1.0
56,2.0
57,6.0
58,0.0
59,4.0
60,1.0
61,7.0
62,0.0
63,0.0
64,0.0
65,1.0
66,9.0
67,0.0
68,1.0
69,6.0
70,5.0
71,8.0
72,8.0
73,2.0
74,8.0
75,8.0
76,9.0
77,2.0
78,3.0
79,5.0
80,4.0
81,1.0
82,0.0
83,9.0
84,2.0
85,4.0
86,3.0
87,6.0
88,7.0
89,2.0
90,0.0
91,6.0
92,6.0
93,1.0
94,4.0
95,3.0
96,9.0
97,7.0
98,4.0
99,0.0
100,3.0
101,2.0
102,0.0
103,7.0
104,3.0
105,0.0
106,5.0
107,0.0
108,4.0
109,0.0
110,0.0
111,4.0
112,7.0
113,1.0
114,7.0
115,1.0
116,1.0
117,5.0
118,3.0
119,3.0
120,7.0
121,2.0
122,8.0
123,6.0
124,3.0
125,8.0
126,7.0
127,7.0
128,4.0
129,3.0
130,5.0
131,6.0
132,0.0
133,0.0
134,0.0
135,3.0
136,1.0
137,3.0
138,0.0
139,4.0
140,3.0
141,4.0
142,5.0
143,5.0
144,8.0
145,7.0
146,7.0
147,2.0
148,8.0
149,4.0
150,3.0
151,5.0
152,6.0
153,5.0
154,3.0
155,7.0
156,3.0
157,7.0
158,8.0
159,3.0
160,0.0
161,4.0
162,5.0
163,1.0
164,2.0
165,7.0
166,6.0
167,3.0
168,0.0
169,2.0
170,7.0
171,9.0
172,6.0
173,1.0
174,3.0
175,7.0
176,4.0
177,1.0
178,2.0
179,4.0
180,1.0
181,5.0
182,2.0
183,4.0
184,9.0
185,2.0
186,1.0
187,6.0
188,0.0
189,6.0
190,1.0
191,4.0
192,9.0
193,6.0
194,0.0
195,9.0
196,7.0
197,0.0
198,9.0
199,1.0
200,9.0
201,0.0
202,9.0
203,9.0
204,0.0
205,8.0
206,4.0
207,6.0
208,2.0
209,0.0
210,9.0
211,3.0
212,6.0
213,7.0
214,2.0
215,1.0
216,6.0
217,3.0
218,4.0
219,2.0
220,3.0
221,1.0
222,2.0
223,2.0
224,0.0
225,4.0
226,6.0
227,1.0
228,0.0
229,0.0
230,4.0
231,9.0
232,1.0
233,7.0
234,3.0
235,2.0
236,3.0
237,8.0
238,6.0
239,8.0
240,6.0
241,2.0
242,8.0
243,5.0
244,5.0
245,9.0
246,8.0
247,3.0
248,6.0
249,9.0
250,7.0
251,1.0
252,3.0
253,8.0
254,4.0
255,5.0
256,1.0
257,4.0
258,5.0
259,6.0
260,3.0
261,8.0
262,5.0
263,7.0
264,0.0
265,6.0
266,8.0
267,6.0
268,1.0
269,6.0
270,0.0
271,6.0
272,3.0
273,8.0
274,4.0
275,1.0
276,5.0
277,8.0
278,4.0
279,0.0
280,9.0
281,2.0
282,0.0
283,5.0
284,3.0
285,7.0
286,8.0
287,9.0
288,9.0
289,5.0
290,7.0
291,7.0
292,9.0
293,9.0
294,6.0
295,3.0
296,0.0
297,3.0
298,3.0
299,6.0
300,9.0
301,8.0
302,2.0
303,6.0
304,2.0
